Grade,ID Number,ELA Sum 2024,ELA Sum 2025,ELA Winter 2025,ELA Sum 2026,Math Sum 2024,Math Sum 2025,Math Fall 2025,Math Winter 2025,Math Sum 2026,Science Sum 2025,Science Winter 2025,Science Sum 2026,At Risk - Student Id,At Risk - State Report Id,At Risk - Student Grade,At Risk - Gender,At Risk - Ethnic Name,At Risk - Student Age,At Risk - Meal Status Code,At Risk - Student Status Current,At Risk - Entry Date - E/W,At Risk - Entry Code - E/W,At Risk - Unexcused,At Risk - Excused,At Risk - L-1,At Risk - L-2,At Risk - L-3,At Risk - L-4,At Risk - Local,At Risk - Transportation 1,At Risk - Transportation 2,At Risk - Transportation 3
5th,1262177285,1044,1041,1029,1034,1032,1034,1042,1036,1040,1038,1048,1051,600406611,1262177285,05,Female,Black,11,03,A,45887,R,5,0,0,0,0,0,0,0,0,0
5th,4545421048,1001,1042,1052,1031,1032,1033,1029,1040,1046,1040,1043,1050,600406599,4545421048,05,Female,Black,11,05,A,45887,R,5,0,0,0,0,0,0,0,0,0
5th,4660782683,1055,1061,1068,1063,1070,1067,1062,1050,1062,1054,1054,1049,600411146,4660782683,05,Female,Black,11,05,A,45887,R,13,10,0,0,0,0,0,0,0,0
5th,8063365121,1030,1042,,1042,1029,1032,,,1042,1033,,1035,600404982,8063365121,05,Male,NonBlack,11,04,A,46098,R,16,0,0,6,0,0,0,0,0,0
5th,7312077861,,,,1044,,,1049,,1068,,,1045,600413091,7312077861,05,Male,NonBlack,11,03,A,46037,C,8,0,0,0,0,0,0,0,0,0
5th,7227538176,,1036,1048,1047,,1034,1041,1029,1043,1047,1046,1048,600411521,7227538176,05,Female,Black,12,04,A,45887,R,66,0,2,5,1,0,0,0,0,0
5th,6121243745,,1023,1016,1029,,1028,1020,1002,1002,1034,1030,1019,600406862,6121243745,05,Male,Black,11,05,A,45930,R,66,0,2,0,0,0,0,0,3,0
5th,3223517752,1046,1043,1024,1041,1045,1048,1038,1037,1037,1044,1034,1031,600411949,3223517752,05,Female,Black,11,02,A,45887,R,14,1,0,1,0,0,0,0,0,0
5th,3322456126,1046,1047,1048,1034,1048,1048,,1047,1046,1044,1051,1037,600405781,3322456126,05,Male,NonBlack,11,04,A,46028,R,18,0,0,4,0,1,0,0,3,0
5th,5607183825,1050,1043,1050,1040,1044,1043,1046,1025,1049,1047,1037,1030,600407343,5607183825,05,Female,NonBlack,11,05,A,45887,R,16,0,0,0,3,0,0,0,0,0
5th,4770583367,1043,1051,1056,1059,1039,1046,1045,1033,1048,1054,1041,1046,600408230,4770583367,05,Female,Black,11,04,A,45887,R,14,2,1,2,0,0,0,0,0,0
5th,8445582478,1035,1024,1029,1040,1026,1044,1050,1045,1049,1044,1055,1054,600405065,8445582478,05,Male,Black,11,04,A,45887,R,5,0,0,0,0,0,0,0,0,0
5th,1620248451,1061,1058,1060,1069,1040,1051,1053,1051,1053,1047,1045,1060,600403467,1620248451,05,Male,NonBlack,11,03,A,45887,R,5,6,0,0,0,0,0,0,0,0
5th,7663567184,1031,1036,1031,1026,1026,1037,1029,1028,1027,1016,1038,1028,600405795,7663567184,05,Female,NonBlack,11,05,A,45887,R,1,2,0,1,0,0,0,0,0,0
5th,8461455441,1036,1038,1052,1046,1019,1035,1037,1032,1043,1036,1039,1044,600406405,8461455441,05,Female,Black,10,05,A,45887,R,13,0,0,0,0,0,0,0,0,0
5th,2364774220,,,1017,1032,,,1002,1020,1021,,1036,1035,600403473,2364774220,05,Male,Black,11,03,A,45887,R,5,2,0,0,0,0,0,0,2,0
5th,4245038186,1035,1042,1049,1043,1048,1041,1038,1052,1051,1054,1039,1047,600406828,4245038186,05,Male,NonBlack,11,04,A,45887,R,20,3,0,0,0,0,0,0,0,0
5th,6284814253,1046,1046,1049,1049,1053,1047,1039,1053,1047,1031,,1045,600413208,6284814253,05,Female,Black,10,03,A,46125,C,0,0,0,0,0,0,0,0,0,0
5th,8451424668,1058,1047,1052,1051,1035,1044,1055,1047,1052,1034,1048,1031,600406312,8451424668,05,Male,Black,11,01,A,45887,R,33,2,0,0,0,0,0,0,0,0
5th,4156115851,,,1058,1056,,,,1051,1060,,1049,1071,600412964,4156115851,05,Male,NonBlack,11,03,A,45966,R,10,0,2,0,2,0,0,0,0,0
5th,7477077506,1031,1034,1021,1039,1048,1041,1033,1037,1042,1030,1034,1045,600405994,7477077506,05,Male,Black,11,05,A,45887,R,3,0,0,1,1,0,0,0,3,0
5th,6753865116,1029,1037,1025,1035,1007,1017,1010,1017,1002,1023,1025,1038,600413182,6753865116,05,Male,Black,11,03,A,46113,C,2,0,0,0,0,0,0,0,0,0
5th,8526604052,1049,1036,1036,1043,1041,1036,1043,1033,1028,1025,1036,1032,600408955,8526604052,05,Female,Black,11,05,A,45887,R,36,0,0,1,1,0,0,0,1,0
5th,1604807623,1044,1046,1043,1044,1030,1041,,1042,1040,1046,,1038,600410937,1604807623,05,Male,Black,11,04,A,45960,R,44,0,0,0,0,0,0,0,0,0
5th,1324532547,1040,1034,1012,1027,1029,INS,,1017,1006,1040,1042,1025,600409591,1324532547,05,Male,Black,12,04,A,45887,R,10,5,0,0,0,0,0,0,0,0
5th,4845356873,1000,1029,1026,1029,1015,1001,1022,1002,1002,1034,1023,1030,600409616,4845356873,05,Male,Black,11,05,A,45887,R,9,0,0,0,0,0,0,0,0,0
5th,3483176817,1041,1049,1045,1046,1048,1042,1038,1044,1049,1036,1046,1028,600403598,3483176817,05,Male,NonBlack,11,05,A,45887,R,8,0,0,0,0,0,0,0,0,0
5th,4412624544,1034,1046,1048,1044,1041,1040,1025,1013,1037,1044,1047,1052,600407804,4412624544,05,Female,NonBlack,11,03,A,45887,R,14,0,0,0,0,0,0,0,0,0
5th,2131763618,1046,1062,1059,1064,1058,1068,1056,1061,1066,1070,1064,1066,600403287,2131763618,05,Male,Black,11,02,A,46028,R,5,2,0,0,0,0,0,0,0,0
5th,4084038433,1037,1030,1030,1033,1006,1007,1002,1002,1006,1034,1026,1036,600405524,4084038433,05,Female,NonBlack,12,04,A,45887,R,20,3,0,0,0,0,0,0,6,0
,8007835425,,,1030,1032,,,,1014,1032,,,,600413234,8007835425,05,Male,Black,11,03,A,46141,C,2,0,0,0,0,0,0,0,0,0
5th,1355804342,1030,1028,1016,1036,1014,1015,1002,1002,1024,1030,1042,1025,600406741,1355804342,05,Female,Black,11,01,A,45887,R,20,3,0,0,0,0,0,0,0,0
5th,3551018725,1034,1040,1049,1029,1027,1012,1044,1039,1029,1029,1037,1027,600407494,3551018725,05,Male,Black,11,06,A,46029,S,52,6,6,4,0,0,0,0,0,0
5th,3800260108,1040,1039,1035,1030,1038,1027,1037,1036,1039,1028,1044,1048,600406959,3800260108,05,Female,NonBlack,10,05,A,45887,R,10,3,0,0,0,0,0,0,0,0
5th,4727500441,1032,1034,1039,1050,1038,1055,1058,1063,1069,1045,1050,1049,600406298,4727500441,05,Male,NonBlack,11,04,A,45887,R,60,16,1,2,1,0,0,0,1,0
5th,2114053036,1036,1046,1000,1022,1044,1047,1036,1025,1047,1035,1037,1039,600403607,2114053036,05,Female,NonBlack,11,04,A,45887,R,5,0,0,0,1,0,0,0,0,0
5th,1736131518,1052,1058,1045,1048,1049,1053,1046,1040,1046,1060,1042,1037,600408002,1736131518,05,Female,Black,11,04,A,45887,R,10,1,0,0,0,0,0,0,0,0
5th,2806022427,1047,1034,1040,1036,1018,1028,1026,1016,1027,1030,1038,1035,600410677,2806022427,05,Female,NonBlack,11,01,A,45887,R,25,0,0,0,0,0,0,0,0,0
5th,8635705008,1035,1037,1039,1043,1057,1043,1054,1048,1060,1040,1041,1068,600411649,8635705008,05,Male,Black,10,04,A,45887,R,23,0,0,0,0,0,0,0,0,0
5th,5780036387,1042,1023,1014,1033,1000,1003,1002,1002,1002,1015,1035,1030,600408880,5780036387,05,Male,NonBlack,11,02,A,45887,R,9,0,0,0,1,0,0,0,0,0
5th,1601455787,1049,1063,1057,1062,1029,1030,,1039,1045,1049,1042,1058,600403650,1601455787,05,Female,NonBlack,11,03,A,45887,R,27,4,0,0,0,0,0,0,0,0
5th,4822467003,1071,1056,1062,1066,1045,1045,1041,1034,1050,1054,1048,1053,600403655,4822467003,05,Female,NonBlack,11,05,A,45887,R,16,9,0,0,0,0,0,0,0,0
5th,8656824758,1029,1016,,1044,1035,1039,1039,1037,1035,1027,1024,1044,600407131,8656824758,05,Male,Black,11,04,A,46035,R1,58,0,0,1,2,0,0,0,0,0
5th,6370164573,1073,1065,1066,1067,1057,1055,1054,1046,1056,1060,1062,1056,600405130,6370164573,05,Female,Black,12,01,A,45887,R,0,0,0,0,0,0,0,0,0,0
5th,2841850073,1058,1058,1055,1056,1052,1049,1041,1056,1044,1057,1047,1048,600411644,2841850073,05,Female,Black,10,05,A,45887,R,19,3,0,0,0,0,0,0,0,0
5th,7433164312,1048,1041,1046,1037,1032,1036,1033,1019,1028,1051,1038,1035,600403668,7433164312,05,Female,Black,11,01,A,45887,R,12,2,0,0,1,0,0,0,3,0
5th,6405752735,1059,1041,1047,1054,1041,1043,1042,1043,1038,1045,1044,1043,600405070,6405752735,05,Female,Black,11,05,A,45887,R,20,3,0,3,0,0,0,0,0,0
5th,3507135857,1055,1048,1034,1048,1050,1043,1045,1044,1055,1034,1051,1051,600406237,3507135857,05,Female,NonBlack,11,03,A,45887,R,9,0,0,0,0,0,0,0,0,0
5th,5353062577,1043,1042,1044,1035,1055,1051,1045,1041,1042,1033,1044,1039,600410130,5353062577,05,Male,NonBlack,11,05,A,45887,R,9,3,0,0,0,0,0,0,0,0
5th,6138783503,1036,1047,1043,1039,1035,1050,,1006,1046,1051,1039,1043,600406479,6138783503,05,Female,NonBlack,11,01,A,45887,R,11,1,0,0,0,0,0,0,0,0
5th,3533468546,1026,1025,1022,1033,1023,1011,1010,1017,1020,1032,1042,1032,600405515,3533468546,05,Female,NonBlack,13,04,A,45887,R,1,2,0,0,0,0,0,0,0,0
5th,1031432588,1023,1051,1046,1041,1029,1060,1045,1032,1054,1055,1046,1042,600406635,1031432588,05,Male,Black,10,04,A,45887,R,6,3,0,0,0,0,0,0,0,0
5th,1827108748,,,1046,1058,,,1054,1070,1053,,1062,1056,600412797,1827108748,05,Male,NonBlack,11,01,A,45889,R,5,3,0,0,0,0,0,0,0,0
5th,5027154036,1037,1052,1040,1046,1032,1035,1036,1048,1032,1034,1045,1029,600412895,5027154036,05,Female,Black,11,04,A,45929,C,21,3,0,0,1,0,0,0,0,0
5th,4458851707,1046,1028,1036,1036,1036,1033,1038,1003,1002,1044,1032,1036,600405069,4458851707,05,Male,Black,11,04,A,45937,R,27,0,0,0,1,0,0,0,0,0
5th,5072554451,1044,1047,1045,1042,1019,1033,1030,1037,1032,1038,1039,1043,600410991,5072554451,05,Female,NonBlack,11,05,A,45887,R,36,0,0,0,0,0,0,0,0,0
5th,4480285403,1052,1051,1037,1048,1028,1045,1041,1037,1054,1035,1034,1026,600403682,4480285403,05,Female,NonBlack,11,03,A,45887,R,18,0,0,0,1,0,0,0,4,0
5th,4742650348,1059,1041,1052,1048,1043,1044,1043,1047,1051,1041,1040,1052,600406236,4742650348,05,Female,NonBlack,11,06,A,45887,R,86,8,1,1,0,0,0,0,0,0
5th,3473622533,1037,1040,1040,1052,1025,1018,1026,1026,1033,1031,1040,1030,600404948,3473622533,05,Male,Black,10,05,A,45887,R,9,1,0,0,0,0,0,0,0,0
5th,8121042847,1012,1025,1039,1015,1000,1002,1002,1002,1002,1036,1038,1033,600403694,8121042847,05,Male,Black,11,03,A,45887,R,16,2,2,4,0,0,0,0,0,0
5th,8011016476,1043,1019,1032,1041,1047,1044,1046,1042,1041,1050,1041,1051,600410922,8011016476,05,Female,Black,10,04,A,45887,R,9,2,0,2,0,0,0,0,0,0
5th,7317271682,,1056,1049,1061,,1050,1045,1042,1056,1065,1046,1048,600406516,7317271682,05,Female,Black,10,05,A,45887,R,12,1,0,0,0,0,0,0,0,0
5th,2761133575,1078,,1073,1069,1057,,,1047,1050,,1068,1052,600413219,2761133575,05,Female,Black,10,03,A,46128,C,6,0,0,0,0,0,0,0,0,0
5th,8310724533,1035,1030,1046,1055,1047,1037,1039,1040,1040,1046,1062,1055,600406897,8310724533,05,Female,Black,10,04,A,45887,R,1,0,0,0,0,0,0,0,0,0
5th,3605516084,1045,1066,1033,1050,1055,1054,1060,1058,1055,1050,1036,1037,600405724,3605516084,05,Male,Black,11,04,A,45887,R,6,2,1,0,2,0,0,0,0,0
5th,4114044845,1036,1037,1034,1029,1000,1022,1011,1002,1011,1032,1030,1025,600408048,4114044845,05,Male,NonBlack,11,01,A,45887,R,20,12,0,1,1,0,0,0,0,0
5th,1836670543,1036,1035,,1036,1010,1001,1032,,1017,1043,,1032,600405094,1836670543,05,Male,Black,10,04,A,46097,R,8,0,0,0,0,0,0,0,0,0
5th,8562635018,1047,1034,1053,1051,1045,1045,1038,1042,1051,1045,1035,1046,600403721,8562635018,05,Female,Black,11,01,A,45887,R,16,0,1,0,0,0,0,0,0,0
5th,5308661253,1025,1034,1027,1040,1030,1020,1015,1002,1027,1046,1038,1038,600411424,5308661253,05,Male,Black,11,01,A,45887,R,42,4,0,0,0,0,0,0,0,0
5th,4230051434,1000,1043,1043,1041,1020,1043,1041,1028,1042,1033,1038,1044,600406214,4230051434,05,Female,NonBlack,11,01,A,45887,R,7,2,0,0,0,0,0,0,0,0
5th,7128061166,,1057,1051,1060,,1049,1034,1049,1044,1059,1039,1051,600412700,7128061166,05,Female,NonBlack,11,05,A,45887,R,5,0,0,0,0,0,0,0,0,0
5th,3681348518,1022,1018,1034,1038,1010,1010,1026,1002,1033,1027,1034,1034,600405307,3681348518,05,Female,NonBlack,11,03,A,45887,R,11,0,0,0,0,0,0,0,0,0
5th,8623577687,1050,1057,,1053,1052,1050,,1047,1045,1057,1045,1047,600412631,8623577687,05,Female,NonBlack,11,04,A,45887,R,29,7,0,0,0,0,0,0,2,0
5th,4315204652,1026,1021,1036,1043,1014,1018,1034,1027,1033,1034,1045,1035,600403823,4315204652,05,Male,Black,10,05,A,45887,R,21,3,1,0,2,0,0,0,2,0
5th,1216635262,1025,1032,1027,1033,1023,1028,1021,1041,1051,1033,1033,1040,600408906,1216635262,05,Male,Black,11,05,A,45887,R,2,2,0,0,0,0,0,0,0,0
5th,8503236648,1044,1042,1052,1055,1031,1037,1030,1047,1040,1034,1048,1042,600406571,8503236648,05,Female,Black,11,01,A,45887,R,6,0,0,0,0,0,0,0,0,0
5th,7643170485,1040,1032,1030,1039,1049,1045,1046,1047,1035,1036,1049,1042,600412080,7643170485,05,Male,NonBlack,11,04,A,45952,R,68,0,0,0,2,0,0,0,1,0
5th,4357532218,1031,1029,1031,1040,1028,1024,1035,1002,1030,1038,1049,1031,600405310,4357532218,05,Male,Black,11,04,A,45887,R,46,2,0,0,1,0,0,0,2,0
5th,7582766458,1033,1030,1000,1043,1029,1025,1034,1018,1025,1031,1027,1024,600404888,7582766458,05,Male,NonBlack,10,04,A,45887,R,14,2,0,0,2,0,0,0,1,0
5th,6731785236,1024,1036,1027,1038,1015,1019,1002,1002,1029,1033,1040,1049,600408308,6731785236,05,Male,Black,11,04,A,45887,R,14,2,0,1,1,0,0,0,0,0
5th,6507436812,1021,1031,1025,1042,1032,1024,1002,1003,1023,1022,1014,1037,600406770,6507436812,05,Male,Black,11,04,A,45887,R,60,2,0,3,2,0,0,0,0,0
5th,7238478527,1036,1037,,1042,1054,1050,1038,1043,1051,1048,1042,1040,600412442,7238478527,05,Male,NonBlack,11,04,A,45887,R,13,0,0,0,0,0,0,0,1,0
5th,1706623566,1043,1025,1032,1050,1035,1027,1040,1021,1031,1041,1033,1049,600403262,1706623566,05,Male,NonBlack,11,05,A,45887,R,60,12,1,4,4,0,0,0,0,0
5th,7113813686,1068,1053,1058,1054,1050,1052,,1047,1056,1047,1045,1036,600410743,7113813686,05,Male,Black,11,05,A,45938,S,16,1,0,0,0,0,0,0,0,0
5th,5136730113,1000,1037,1041,1037,1035,1040,1046,1040,1044,1041,1051,1032,600408655,5136730113,05,Female,Black,11,01,A,45887,R,17,0,0,0,0,0,0,0,0,0
5th,1378568332,1015,1052,1046,1042,1047,1065,1051,1048,1044,1047,1042,1041,600411585,1378568332,05,Female,Black,11,04,A,45887,R,41,8,0,1,0,0,0,0,0,0
5th,6623011663,1071,1075,1079,1076,1066,1066,1058,1076,1069,1065,1054,1070,600409385,6623011663,05,Female,Black,11,05,A,45887,R,11,1,0,0,0,0,0,0,0,0
5th,2266152717,1047,1058,1037,1052,1035,1038,1047,1034,1040,1035,1035,1046,600412659,2266152717,05,Female,NonBlack,11,05,A,45887,R,19,14,0,0,0,0,0,0,0,0
