group_variable,group_level,treatment_students,control_students,outcome,weighted_jmtes_mean,weighted_jes_mean,effect_jmtes_minus_jes
entry_code,R,366,605,Unexcused absence % of 170-day year,5.43,8.82,-3.39
entry_code,R,366,605,Total absence % of 170-day year,7.24,10.12,-2.88
entry_code,R,366,605,School behavior severity points per 170-day year,0.75,1.59,-0.84
entry_code,R,366,605,Bus behavior severity points per 170-day year,0.06,0.34,-0.28
entry_code,R,366,605,Highest school behavior severity category (0-4),0.36,0.69,-0.33
entry_code,R,366,605,Highest bus behavior severity category (0-3),0.06,0.18,-0.13
entry_code,S,16,14,Excused absence % of 170-day year,1.10,1.18,-0.08
entry_code,S,16,14,Unexcused absence % of 170-day year,5.74,8.09,-2.36
entry_code,S,16,14,Total absence % of 170-day year,6.84,9.27,-2.43
entry_code,S,16,14,School behavior severity points per 170-day year,0.19,1.80,-1.62
entry_code,S,16,14,Bus behavior severity points per 170-day year,0.12,0.81,-0.68
entry_code,S,16,14,Highest school behavior severity category (0-4),0.17,0.94,-0.76
entry_code,S,16,14,Highest bus behavior severity category (0-3),0.12,0.49,-0.37
