Student ID,2025-26 tracker Homeroom,2025-26 tracker Grade,2025-26 tracker OPTED OUT OF GROW,2025-26 tracker Aug-Dec 2025 Incentives Incentive 1- EA Lesson Activities,2025-26 tracker Aug-Dec 2025 Incentives Incentive 2- 1 HR Fin. Literacy Module Online,2025-26 tracker Aug-Dec 2025 Incentives Incentive 3- Met Reading Goal,"2025-26 tracker Aug-Dec 2025 Incentives Number of ""think time"" sheets this semester (2 nine weeks)",2025-26 tracker Aug-Dec 2025 Incentives Incentive 4- Met Behavior Goal,2025-26 tracker Aug-Dec 2025 Incentives Number of days missed this semester,2025-26 tracker Aug-Dec 2025 Incentives Incentive 5- Miss three days or less,2025-26 tracker Aug-Dec 2025 Incentives Teacher Verification,2025-26 tracker Aug-Dec 2025 Incentives Winter 2025 Rewards,2025-26 tracker Jan-May 2026 Incentives Incentive 1- EA Lesson Activities,2025-26 tracker Jan-May 2026 Incentives Incentive 2- 1 HR Fin. Literacy Module Online,2025-26 tracker Jan-May 2026 Incentives Incentive 3- Met Reading Goal,"2025-26 tracker Jan-May 2026 Incentives Number of ""think time"" sheets this semester (2 nine weeks)",2025-26 tracker Jan-May 2026 Incentives Incentive 4- Met Behavior Goal,2025-26 tracker Jan-May 2026 Incentives Number of days missed this semester,2025-26 tracker Jan-May 2026 Incentives Incentive 5- Miss three days or less,2025-26 tracker Jan-May 2026 Incentives Teacher Verification,2025-26 tracker Jan-May 2026 Incentives Spring 2026 Rewards,2025-26 tracker Jan-May 2026 Incentives 2nd semester incentives deposited (5.22.26),2025-26 tracker Jan-May 2026 Incentives 2025-26 Incentive TOTAL,2025-26 tracker 2025-26 tracker source row,Jan-May 2026 tracker Homeroom,Jan-May 2026 tracker Grade,Jan-May 2026 tracker OPTED OUT OF GROW,Jan-May 2026 tracker Jan-May 2026 Incentives Incentive 1- EA Lesson Activities,Jan-May 2026 tracker Jan-May 2026 Incentives Incentive 2- 1 HR Fin. Literacy Module Online,Jan-May 2026 tracker Jan-May 2026 Incentives Incentive 3- Met Reading Goal,"Jan-May 2026 tracker Jan-May 2026 Incentives Number of ""think time"" sheets this semester (2 nine weeks)",Jan-May 2026 tracker Jan-May 2026 Incentives Incentive 4- Met Behavior Goal,Jan-May 2026 tracker Jan-May 2026 Incentives Number of days missed this semester,Jan-May 2026 tracker Jan-May 2026 Incentives Incentive 5- Miss three days or less,Jan-May 2026 tracker Jan-May 2026 Incentives Teacher Verification,Jan-May 2026 tracker Jan-May 2026 Incentives Spring 2026 Rewards,Jan-May 2026 tracker Jan-May 2026 Incentives 2nd semester incentives deposited (5.22.26),Jan-May 2026 tracker Jan-May 2026 tracker source row
600405114,Henderson,04-Fourth,,1,0,1,3.0,0,1.0,1,3,300,,,,,,,,,,0.0,300,18,Henderson,04-Fourth,,,,,,,,,,,$0.00,18
600405127,Eskridge,04-Fourth,,1,0,1,0.0,1,1.0,1,3.0,300,,,,,,,,,,0.0,300,19,Eskridge,04-Fourth,,,,,,,,,,,$0.00,19
600405159,Easterling,05-Fifth,,1,1,1,0.0,1,6.0,0,3.0,300,,,,,,,,,,0.0,300,20,Easterling,05-Fifth,,,,,,,,,,,$0.00,20
600405162,Guy,05-Fifth,,1,1,1,0.0,1,0.0,1,3.0,300,,,,,,,,,,0.0,300,21,Guy,05-Fifth,,,,,,,,,,,$0.00,21
600405163,Guy,05-Fifth,,1,1,1,0.0,1,3.0,1,3.0,300,,,,,,,,,,0.0,300,22,Guy,05-Fifth,,,,,,,,,,,$0.00,22
600405218,Easterling,05-Fifth,,1,1,1,0.0,1,7.0,0,3.0,300,,,,,,,,,,0.0,300,23,Easterling,05-Fifth,,,,,,,,,,,$0.00,23
600405544,Warren,04-Fourth,,0,0,0,4.0,0,11.0,0,0,0,1,,0,,0,15.0,,1,100,100.0,100,24,Warren,04-Fourth,,1,,0,,0,15,,0,$0.00,$100.00,24
600405562,Warren,04-Fourth,,0,0,0,0.0,1,10.0,0,1,100,1,,1,,1,10.0,,3,300,200.0,300,25,Warren,04-Fourth,,1,,1,,1,10,,0,$0.00,$200.00,25
600405711,Easterling,05-Fifth,,1,1,1,1.0,1,4.0,0,3.0,300,,,,,,,,,,0.0,300,26,Easterling,05-Fifth,,,,,,,,,,,$0.00,26
600405720,Easterling,05-Fifth,,1,1,1,0.0,1,13.0,0,3.0,300,,,,,,,,,,0.0,300,27,Easterling,05-Fifth,,,,,,,,,,,$0.00,27
600405958,Easterling,05-Fifth,,1,1,1,1.0,1,13.0,0,3.0,300,,,,,,,,,,0.0,300,28,Easterling,05-Fifth,,,,,,,,,,,$0.00,28
600406303,Guy,05-Fifth,,1,1,1,0.0,1,0.0,1,3.0,300,,,,,,,,,,0.0,300,29,Guy,05-Fifth,,,,,,,,,,,$0.00,29
600406322,Henderson,04-Fourth,,1,0,1,,1,4.0,0,3,300,,,,,,,,,,0.0,300,30,Henderson,04-Fourth,,,,,,,,,,,$0.00,30
600406328,Henderson,04-Fourth,,1,0,1,2.0,1,3.0,1,3.0,300,,,,,,,,,,0.0,300,31,Henderson,04-Fourth,,,,,,,,,,,$0.00,31
600406329,Henderson,04-Fourth,,0,0,1,,1,5.0,0,3.0,300,,,,,,,,,,0.0,300,32,Henderson,04-Fourth,,,,,,,,,,,$0.00,32
600406332,Warren,04-Fourth,,0,0,0,1.0,1,1.0,1,2,200,1,,0,,0,,,1,100,100.0,300,33,Warren,04-Fourth,,1,,0,,0,,,0,$0.00,$100.00,33
600406341,Taylor,03-Third,,1,1,1,0.0,1,,1,3.0,300.0,,,,,,,,,,0.0,300,34,Taylor,03-Third,,,,,,,,,,,$0.00,34
600406342,Gulley,03-Third,,1,,1,,1,8.0,0,3.0,300,,,,,,,,,,0.0,300,35,Gulley,03-Third,,,,,,,,,,,$0.00,35
600406350,Taylor,03-Third,,1,1,1,0.0,1,,0,3.0,300.0,,,,,,,,,,0.0,300,36,Taylor,03-Third,,,,,,,,,,,$0.00,36
600406403,Guy,05-Fifth,,1,1,1,0.0,1,0.0,1,3.0,300,,,,,,,,,,0.0,300,37,Guy,05-Fifth,,,,,,,,,,,$0.00,37
600406404,Guy,05-Fifth,,1,1,1,0.0,1,0.0,1,3.0,300,,,,,,,,,,0.0,300,38,Guy,05-Fifth,,,,,,,,,,,$0.00,38
600406441,Taylor,03-Third,,1,1,1,0.0,1,,1,3.0,300.0,,,,,,,,,,0.0,300,39,Taylor,03-Third,,,,,,,,,,,$0.00,39
600406453,Taylor,03-Third,,1,1,1,0.0,1,,1,3.0,300.0,,,,,,,,,,0.0,300,40,Taylor,03-Third,,,,,,,,,,,$0.00,40
600406503,Easterling,05-Fifth,,1,1,1,0.0,1,0.0,1,3.0,300,,,,,,,,,,0.0,300,41,Easterling,05-Fifth,,,,,,,,,,,$0.00,41
600406510,Easterling,05-Fifth,,1,1,1,2.0,1,3.0,1,3.0,300,,,,,,,,,,0.0,300,42,Easterling,05-Fifth,,,,,,,,,,,$0.00,42
600406545,Taylor,03-Third,,1,1,1,0.0,1,,0,3.0,300.0,,,,,,,,,,0.0,300,43,Taylor,03-Third,,,,,,,,,,,$0.00,43
600406563,Easterling,05-Fifth,,1,1,1,0.0,1,4.0,0,3.0,300,,,,,,,,,,0.0,300,44,Easterling,05-Fifth,,,,,,,,,,,$0.00,44
600406689,Easterling,05-Fifth,,1,1,1,0.0,1,9.0,0,3.0,300,,,,,,,,,,0.0,300,45,Easterling,05-Fifth,,,,,,,,,,,$0.00,45
600406701,Warren,04-Fourth,,1,0,1,referral,0,3.0,1,3,300,,,,,,,,,,0.0,300,46,Warren,04-Fourth,,,,,,,,,,,$0.00,46
600406720,Guy,05-Fifth,,1,1,1,5.0,0,0.0,1,3.0,300,,,,,,,,,,0.0,300,47,Guy,05-Fifth,,,,,,,,,,,$0.00,47
600406727,Easterling,05-Fifth,,1,1,1,0.0,1,8.0,0,3.0,300,,,,,,,,,,0.0,300,48,Easterling,05-Fifth,,,,,,,,,,,$0.00,48
600406729,Guy,05-Fifth,,1,1,1,0.0,1,4.0,0,3.0,300,,,,,,,,,,0.0,300,49,Guy,05-Fifth,,,,,,,,,,,$0.00,49
600406749,Easterling,05-Fifth,,1,1,1,0.0,1,5.0,0,3.0,300,,,,,,,,,,0.0,300,50,Easterling,05-Fifth,,,,,,,,,,,$0.00,50
600406768,Eskridge,04-Fourth,,1,0,0,0.0,1,7.0,0,2,200,0,0,0,,0,,,0,0,0.0,200,51,Eskridge,04-Fourth,,0,0,0,,0,,,0,$0.00,$0.00,51
600406777,Gulley,03-Third,,1,,1,1.0,1,5.0,0,3.0,300,,,,,,,,,,0.0,300,52,Gulley,03-Third,,,,,,,,,,,$0.00,52
600406790,Easterling,05-Fifth,,1,1,1,0.0,1,3.0,1,3.0,300,,,,,,,,,,0.0,300,53,Easterling,05-Fifth,,,,,,,,,,,$0.00,53
600406818,Guy,05-Fifth,,1,1,1,0.0,1,5.0,0,3.0,300,,,,,,,,,,0.0,300,54,Guy,05-Fifth,,,,,,,,,,,$0.00,54
600406821,Moss,03-Third,,1,,1,,1,0.0,1,3.0,300,,,,,,,,,,0.0,300,55,Moss,03-Third,,,,,,,,,,,$0.00,55
600406871,Warren,04-Fourth,,0,0,0,1.0,1,9.0,0,1,100,1,,0,,0,,,1,100,100.0,200,56,Warren,04-Fourth,,1,,0,,0,,,0,$0.00,$100.00,56
600406891,Warren,04-Fourth,,1,0,1,1.0,1,5.0,0,3,300,,,,,,,,,,0.0,300,57,Warren,04-Fourth,,,,,,,,,,,$0.00,57
600406898,Warren,04-Fourth,,1,0,1,2.0,1,3.0,1,3.0,300,,,,,,,,,,0.0,300,58,Warren,04-Fourth,,,,,,,,,,,$0.00,58
600406949,Lovell,03-Third,,1,1,1,0.0,1,13.0,0,3.0,300,,,,,,,,,,0.0,300,59,Lovell,03-Third,,,,,,,,,,,$0.00,59
600407093,Warren,04-Fourth,,1,0,1,1.0,1,4.0,0,3,300,,,,,,,,,,0.0,300,60,Warren,04-Fourth,,,,,,,,,,,$0.00,60
600407105,Moss,03-Third,,1,,1,,1,2.0,1,3.0,300,,,,,,,,,,0.0,300,61,Moss,03-Third,,,,,,,,,,,$0.00,61
600407156,Guy,05-Fifth,,1,1,1,2.0,0,2.0,1,3.0,300,,,,,,,,,,0.0,300,62,Guy,05-Fifth,,,,,,,,,,,$0.00,62
600407208,Henderson,04-Fourth,,1,0,1,,1,1.0,1,3.0,300,,,,,,,,,,0.0,300,63,Henderson,04-Fourth,,,,,,,,,,,$0.00,63
600407217,Moss,03-Third,,1,,1,,1,1.0,1,3.0,300,,,,,,,,,,0.0,300,64,Moss,03-Third,,,,,,,,,,,$0.00,64
600407222,Boone,02-Second,,1,,,0.0,1,2.0,1,3,300,,,,,,,,,,0.0,300,65,Boone,02-Second,,,,,,,,,,,$0.00,65
600407231,Crotts,02-Second,,1,0,0,0.0,0,8.0,0,1,100,1,0,0,0.0,1,,0,2.0,200,200.0,300,66,Crotts,02-Second,,1,0,0,0,1,,0,2,$200.00,$200.00,66
600407239,Boone,02-Second,,1,,,0.0,1,2.0,1,3,300,,,,,,,,,,0.0,300,67,Boone,02-Second,,,,,,,,,,,$0.00,67
600407242,Russell,02-Second,,1,0,0,,1,,0,2,200,1,0,1,0.0,1,,0,3,300,100.0,300,68,Russell,02-Second,,1,0,1,0,1,,0,0,$0.00,$100.00,68
600407301,Gulley,03-Third,,1,,1,,1,6.0,0,3.0,300,,,,,,,,,,0.0,300,69,Gulley,03-Third,,,,,,,,,,,$0.00,69
600407336,Taylor,03-Third,,1,1,1,0.0,1,,1,3.0,300.0,,,,,,,,,,0.0,300,70,Taylor,03-Third,,,,,,,,,,,$0.00,70
600407337,K5 - Ramsey,04-Fourth,,1,1,1,0.0,1,6.0,0,3.0,300,,,,,,,,,,0.0,300,71,K5 - Ramsey,04-Fourth,,,,,,,,,,,$0.00,71
600407340,Lovell,03-Third,,1,1,1,0.0,1,5.0,0,3.0,300,,,,,,,,,,0.0,300,72,Lovell,03-Third,,,,,,,,,,,$0.00,72
600407347,Gulley,03-Third,,0,,1,,0,3.0,1,2.0,200,1,0,1,0.0,1,4.0,0,3.0,300,100.0,300,73,Gulley,03-Third,,1,0,1,0,1,4,0,3,$300.00,$100.00,73
600407361,Russell,02-Second,,1,0,0,4.0,0,,0,1,100,1,0,0,2.0,1,,0,2,200,200.0,300,74,Russell,02-Second,,1,0,0,2,1,,0,0,$0.00,$200.00,74
600407367,Moss,03-Third,,1,,1,1.0,1,4.0,0,3.0,300,,,,,,,,,,0.0,300,75,Moss,03-Third,,,,,,,,,,,$0.00,75
600407373,Boone,02-Second,,1,,,0.0,1,4.0,0,2,200,1,0,1,,1,,1,4,0,100.0,300,76,Boone,02-Second,,1,0,1,,1,,1,0,$0.00,$100.00,76
600407376,Gulley,03-Third,,1,,1,,1,5.0,0,3.0,300,,,,,,,,,,0.0,300,77,Gulley,03-Third,,,,,,,,,,,$0.00,77
600407395,Crotts,02-Second,,1,0,0,0.0,1,6.0,0,2,200,1,0,1,0.0,1,,0,3.0,300,100.0,300,78,Crotts,02-Second,,1,0,1,0,1,,0,3,$300.00,$100.00,78
600407431,Boone,02-Second,,1,,,0.0,1,4.0,0,2,200,1,0,1,,1,,0,3,300,100.0,300,79,Boone,02-Second,,1,0,1,,1,,0,0,$0.00,$100.00,79
600407459,Lovell,03-Third,,1,1,1,0.0,1,6.0,0,3.0,300,,,,,,,,,,0.0,300,80,Lovell,03-Third,,,,,,,,,,,$0.00,80
600407466,Henderson,04-Fourth,,1,0,1,1.0,1,5.0,0,3,300,,,,,,,,,,0.0,300,81,Henderson,04-Fourth,,,,,,,,,,,$0.00,81
600407470,Henderson,04-Fourth,,0,0,1,2.0,1,6.0,0,2,200,1,0,1,4.0,0,,0,1.0,100,100.0,300,82,Henderson,04-Fourth,,1,0,1,4,0,,0,1,$100.00,$100.00,82
600407486,Moss,03-Third,,1,,1,,1,1.0,1,3.0,300,,,,,,,,,,0.0,300,83,Moss,03-Third,,,,,,,,,,,$0.00,83
600407487,Warren,04-Fourth,,0,0,0,0.0,1,9.0,0,1,100,1,,0,,1,10.0,,2,200,200.0,300,84,Warren,04-Fourth,,1,,0,,1,10,,0,$0.00,$200.00,84
600407489,Eskridge,04-Fourth,,1,0,1,0.0,1,2.0,1,3.0,300,,,,,,,,,,0.0,300,85,Eskridge,04-Fourth,,,,,,,,,,,$0.00,85
600407490,Eskridge,04-Fourth,,1,0,1,0.0,1,1.0,1,3.0,300,,,,,,,,,,0.0,300,86,Eskridge,04-Fourth,,,,,,,,,,,$0.00,86
600407493,Eskridge,04-Fourth,,1,0,1,0.0,1,4.0,0,3,300,,,,,,,,,,0.0,300,87,Eskridge,04-Fourth,,,,,,,,,,,$0.00,87
600407513,Warren,04-Fourth,,0,0,0,2.0,1,2.0,1,2,200,1,,0,,0,,,1,100,100.0,300,88,Warren,04-Fourth,,1,,0,,0,,,0,$0.00,$100.00,88
600407520,Henderson,04-Fourth,,1,0,0,2.0,1,9.0,0,2,200,1,0,1,2.0,1,,0,1.0,100,100.0,300,89,Henderson,04-Fourth,,1,0,1,2,1,,0,1,$100.00,$100.00,89
600407535,Moss,03-Third,,1,,1,,1,3.0,1,3.0,300,,,,,,,,,,0.0,300,90,Moss,03-Third,,,,,,,,,,,$0.00,90
600407545,Eskridge,04-Fourth,,1,0,1,0.0,1,1.0,1,3.0,300,,,,,,,,,,0.0,300,91,Eskridge,04-Fourth,,,,,,,,,,,$0.00,91
600407643,Henderson,04-Fourth,,1,0,1,,1,1.0,1,3.0,300,,,,,,,,,,0.0,300,92,Henderson,04-Fourth,,,,,,,,,,,$0.00,92
600407666,Boone,02-Second,,1,,,0.0,1,4.0,0,2,200,1,0,1,,1,,0,3,300,100.0,300,93,Boone,02-Second,,1,0,1,,1,,0,0,$0.00,$100.00,93
600407760,Gulley,03-Third,,1,,1,,1,3.0,1,3.0,300,,,,,,,,,,0.0,300,94,Gulley,03-Third,,,,,,,,,,,$0.00,94
600407781,K5 - Ramsey,04-Fourth,,1,1,1,0.0,1,10.0,0,3.0,300,,,,,,,,,,0.0,300,95,K5 - Ramsey,04-Fourth,,,,,,,,,,,$0.00,95
600407799,Henderson,04-Fourth,,0,0,0,,1,10.0,0,1,100,1,0,1,5.0,0,,0,2,200,200.0,300,96,Henderson,04-Fourth,,1,0,1,5,0,,0,0,$0.00,$200.00,96
600407840,Warren,04-Fourth,,1,0,1,0.0,1,5.0,0,3,300,,,,,,,,,,0.0,300,97,Warren,04-Fourth,,,,,,,,,,,$0.00,97
600407872,Henderson,04-Fourth,,1,0,0,,1,0.0,1,3,300,,,,,,,,,,0.0,300,98,Henderson,04-Fourth,,,,,,,,,,,$0.00,98
600407908,Crotts,02-Second,,1,0,0,0.0,1,4.0,0,2,200,1,0,0,0.0,1,,1,3.0,300,100.0,300,99,Crotts,02-Second,,1,0,0,0,1,,1,3,$300.00,$100.00,99
600407917,Eskridge,04-Fourth,,1,0,0,0.0,1,2.0,1,3,300,,,,,,,,,,0.0,300,100,Eskridge,04-Fourth,,,,,,,,,,,$0.00,100
600407919,Henderson,04-Fourth,,1,0,1,,1,3.0,1,3.0,300,,,,,,,,,,0.0,300,101,Henderson,04-Fourth,,,,,,,,,,,$0.00,101
600407953,Eskridge,04-Fourth,,1,0,1,0.0,1,2.0,1,3.0,300,,,,,,,,,,0.0,300,102,Eskridge,04-Fourth,,,,,,,,,,,$0.00,102
600407954,Eskridge,04-Fourth,,0,0,1,0.0,1,0.0,1,3,300,,,,,,,,,,0.0,300,103,Eskridge,04-Fourth,,,,,,,,,,,$0.00,103
600407955,Taylor,03-Third,,1,1,1,0.0,1,,1,3.0,300.0,,,,,,,,,,0.0,300,104,Taylor,03-Third,,,,,,,,,,,$0.00,104
600407960,Gulley,03-Third,,1,,1,,1,4.0,0,3.0,300,,,,,,,,,,0.0,300,105,Gulley,03-Third,,,,,,,,,,,$0.00,105
600408005,Gulley,03-Third,,1,,1,,1,7.0,0,3.0,300,,,,,,,,,,0.0,300,106,Gulley,03-Third,,,,,,,,,,,$0.00,106
600408011,Taylor,03-Third,,1,1,1,0.0,1,,0,3.0,300.0,,,,,,,,,,0.0,300,107,Taylor,03-Third,,,,,,,,,,,$0.00,107
600408024,Warren,04-Fourth,,0,0,0,0.0,1,1.0,1,2,200,1,,1,,1,1.0,,3,300,100.0,300,108,Warren,04-Fourth,,1,,1,,1,1,,0,$0.00,$100.00,108
600408026,Warren,04-Fourth,,0,0,0,3.0,0,2.0,1,1.0,100,1,,1,,1,,,3.0,300,200.0,300,109,Warren,04-Fourth,,1,,1,,1,,,3,$300.00,$200.00,109
600408037,Warren,04-Fourth,,1,0,1,0.0,1,9.0,0,3,300,,,,,,,,,,0.0,300,110,Warren,04-Fourth,,,,,,,,,,,$0.00,110
600408039,Henderson,04-Fourth,,1,0,0,,1,3.0,1,3,300,,,,,,,,,,0.0,300,111,Henderson,04-Fourth,,,,,,,,,,,$0.00,111
600408041,Eskridge,04-Fourth,,1,0,0,0.0,1,5.0,0,2,200,1,1,1,5.0,1,5.0,0,3.0,300,100.0,300,112,Eskridge,04-Fourth,,1,1,1,5,1,5,0,3,$300.00,$100.00,112
600408046,Lovell,03-Third,,1,1,1,0.0,1,4.0,1,3.0,300,,,,,,,,,,0.0,300,113,Lovell,03-Third,,,,,,,,,,,$0.00,113
600408098,Eskridge,04-Fourth,,1,0,1,0.0,1,0.0,1,3.0,300,,,,,,,,,,0.0,300,114,Eskridge,04-Fourth,,,,,,,,,,,$0.00,114
600408135,Crotts,02-Second,,1,0,0,3.0,0,3.0,1,2,200,1,0,0,4.0,0,,,1.0,100,100.0,300,115,Crotts,02-Second,,1,0,0,4,0,,,1,$100.00,$100.00,115
600408136,Russell,02-Second,,1,0,0,3.0,0,,1,2,200,1,0,1,0.0,1,,1,4,0,100.0,300,116,Russell,02-Second,,1,0,1,0,1,,1,0,$0.00,$100.00,116
600408148,Warren,04-Fourth,,1,0,1,0.0,1,7.0,0,3,300,,,,,,,,,,0.0,300,117,Warren,04-Fourth,,,,,,,,,,,$0.00,117
600408189,Warren,04-Fourth,,0,0,1,0.0,1,9.0,0,2,200,1,,1,2.0,1,5.0,,3,300,100.0,300,118,Warren,04-Fourth,,1,,1,2,1,5,,0,$0.00,$100.00,118
600408219,Warren,04-Fourth,,0,0,0,3.0,0,7.0,0,0,0,1,,0,,0,15.0,,1,100,100.0,100,119,Warren,04-Fourth,,1,,0,,0,15,,0,$0.00,$100.00,119
600408289,Eskridge,04-Fourth,,1,0,1,1.0,1,2.0,1,3.0,300,,,,,,,,,,0.0,300,120,Eskridge,04-Fourth,,,,,,,,,,,$0.00,120
600408350,Henderson,04-Fourth,,0,0,1,3.0,0,4.0,0,1,100,1,0,1,5.0,0,,0,2,200,200.0,300,121,Henderson,04-Fourth,,1,0,1,5,0,,0,0,$0.00,$200.00,121
600408378,Eskridge,04-Fourth,,1,0,0,3.0,0,1.0,1,2,200,1,1,1,,1,0.0,1,3.0,300,100.0,300,122,Eskridge,04-Fourth,,1,1,1,,1,0,1,3,$300.00,$100.00,122
600408396,Easterling,05-Fifth,,1,1,1,0.0,1,3.0,1,3.0,300,,,,,,,,,,0.0,300,123,Easterling,05-Fifth,,,,,,,,,,,$0.00,123
600408433,Moss,03-Third,,1,,1,,1,5.0,0,3.0,300,,,,,,,,,,0.0,300,124,Moss,03-Third,,,,,,,,,,,$0.00,124
600408506,Livingston,01-First ,,1,,1,,1,,,3.0,300,,,,,,,,,,0.0,300,125,Livingston,01-First ,,,,,,,,,,,$0.00,125
600408507,Robinson,01-First ,,1,,1,,1,9.0,0,3,300,,,,,,,,,,0.0,300,126,Robinson,01-First ,,,,,,,,,,,$0.00,126
600408511,Robinson,01-First ,,1,,1,,1,5.0,0,3,300,,,,,,,,,,0.0,300,127,Robinson,01-First ,,,,,,,,,,,$0.00,127
600408524,Williams,01-First ,,1,,1,,1,,0,3.0,300,,,,,,,,,,0.0,300,128,Williams,01-First ,,,,,,,,,,,$0.00,128
600408526,Livingston,01-First ,,1,,1,0.0,1,1.0,1,3.0,300,,,,,,,,,,0.0,300,129,Livingston,01-First ,,,,,,,,,,,$0.00,129
600408531,Robinson,01-First ,,1,,1,,1,1.0,1,3.0,300,,,,,,,,,,0.0,300,130,Robinson,01-First ,,,,,,,,,,,$0.00,130
600408544,Taylor,03-Third,,1,1,1,0.0,1,,1,3.0,300.0,,,,,,,,,,0.0,300,131,Taylor,03-Third,,,,,,,,,,,$0.00,131
